question,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
What is the key difference between a t-test and a z-test according to the lecture slides?,0.2,0.0,0.0,0.0,0.20583987515060012
Show me a simple Python example of converting temperature from Fahrenheit to Celsius.,0.3333333333333333,0.7998611253545836,0.9999999999666667,1.0,0.37816616714346174
What is a paired sample in statistics?,0.0,0.9628928103304556,0.0,0.0,0.6318642890210431
How do you define a function in Python?,0.75,0.9999999999998477,0.94999999997625,1.0,0.4875201455563659
How can I handle an IndexError in Python when accessing a list element?,0.0,0.9980335572916008,0.0,0.0,0.3214837189127606
What is the purpose of the 'finally' block in a Python try-except clause?,0.0,0.9999999999998762,0.0,0.0,0.644915080706731
Can Linear Models be used to model non-linear relationships?,0.45,0.7967181669290385,0.49999999995,0.0,0.5429427494129242
How do you load a CSV file into a pandas DataFrame?,0.6666666666666666,0.9971506403185199,0.94999999997625,1.0,0.6673508137855012
What is the purpose of the `assert` statement in Python?,0.0,0.9877932246005342,0.0,0.0,0.5607537295792855
How do you create a boxplot for different species using seaborn?,0.75,0.9980986789587641,0.4499999999775,1.0,0.539326908520305
